---------------------------------
96:  08:03.463   00:00.756
95:  08:02.707   00:04.751
94:  07:57.956   00:05.338
93:  07:52.618   00:01.442
92:  07:51.176   00:11.578
91:  07:39.598   00:01.503
90:  07:38.095   00:00.538
89:  07:37.557   00:03.406
88:  07:34.151   00:07.239
87:  07:26.912   00:08.735
86:  07:18.177   00:06.243
85:  07:11.934   00:03.511
84:  07:08.423   00:01.047
83:  07:07.376   00:00.448
82:  07:06.928   00:00.465
81:  07:06.463   00:05.080
80:  07:01.383   00:01.539
79:  06:59.844   00:01.217
78:  06:58.627   00:07.621
77:  06:51.006   00:02.830
76:  06:48.176   00:07.326
75:  06:40.850   00:05.977
74:  06:34.873   00:08.079
73:  06:26.794   00:03.377
72:  06:23.417   00:04.151
71:  06:19.266   00:03.959
70:  06:15.307   00:09.993
69:  06:05.314   00:07.280
68:  05:58.034   00:03.013
67:  05:55.021   00:02.028
66:  05:52.993   00:10.510
65:  05:42.483   00:03.001
64:  05:39.482   00:09.204
63:  05:30.278   00:01.471
62:  05:28.807   00:02.041
61:  05:26.766   00:04.511
60:  05:22.255   00:11.780
59:  05:10.475   00:02.983
58:  05:07.492   00:01.411
57:  05:06.081   00:09.138
56:  04:56.943   00:05.522
55:  04:51.421   00:06.782
54:  04:44.639   00:12.315
53:  04:32.324   00:05.619
52:  04:26.705   00:03.888
51:  04:22.817   00:11.197
50:  04:11.620   00:12.461
49:  03:59.159   00:19.954
48:  03:39.205   00:03.264
47:  03:35.941   00:04.793
46:  03:31.148   00:06.745
45:  03:24.403   00:01.504
44:  03:22.899   00:07.678
43:  03:15.221   00:03.057
42:  03:12.164   00:00.905
41:  03:11.259   00:01.011
40:  03:10.248   00:06.494
39:  03:03.754   00:01.892
38:  03:01.862   00:01.307
37:  03:00.555   00:00.762
36:  02:59.793   00:02.978
35:  02:56.815   00:17.198
34:  02:39.617   00:03.348
33:  02:36.269   00:09.752
32:  02:26.517   00:01.636
31:  02:24.881   00:02.801
30:  02:22.080   00:00.999
29:  02:21.081   00:18.212
28:  02:02.869   00:01.656
27:  02:01.213   00:05.777
26:  01:55.436   00:02.362
25:  01:53.074   00:04.825
24:  01:48.249   00:01.053
23:  01:47.196   00:01.172
22:  01:46.024   00:02.711
21:  01:43.313   00:00.338
20:  01:42.975   00:04.963
19:  01:38.012   00:05.929
18:  01:32.083   00:01.731
17:  01:30.352   00:08.834
16:  01:21.518   00:01.661
15:  01:19.857   00:03.360
14:  01:16.497   00:09.239
13:  01:07.258   00:05.650
12:  01:01.608   00:07.172
11:  00:54.436   00:00.875
10:  00:53.561   00:02.534
9:  00:51.027   00:08.341
8:  00:42.686   00:01.585
7:  00:41.101   00:00.731
6:  00:40.370   00:08.432
5:  00:31.938   00:07.456
4:  00:24.482   00:02.976
3:  00:21.506   00:04.942
2:  00:16.564   00:04.921
1:  00:11.643   00:11.643

http://play.google.com/store/apps/details?id=uk.co.dedmondson.timer.split
